CT;168;297;0;-1;80
CT;232;297;0;-1;80
CT;296;297;0;-1;80
CT;360;297;0;-1;80

CT;976;174;-1.5;0;120;200
CT;976;240;-1.5;0;100;200

CB;900;241;0;1.5;80

CT;736;33;0;2.5;50;60;0
CT;712;33;0;2.5;50;60;10
CT;688;33;0;2.5;50;60;20
CT;664;33;0;2.5;50;60;30
CT;640;33;0;2.5;50;60;40
CT;616;33;0;2.5;50;60;50
CT;592;33;0;2.5;50;60;60
CT;568;33;0;2.5;50;60;70
CT;544;33;0;2.5;50;60;80
CT;520;33;0;2.5;50;60;90
CT;496;33;0;2.5;50;60;100
CT;472;33;0;2.5;50;60;110
CT;448;33;0;2.5;50;60;120

WP;204;96
